,model_name,agent,TGI,tumor_type
0,CTG-0009,5-Fluorouracil,15,Adenoid cystic carcinoma
1,CTG-0009,Bortezomib,9,Adenoid cystic carcinoma
2,CTG-0009,Dasatinib,38,Adenoid cystic carcinoma
3,CTG-0009,Imatinib,6,Adenoid cystic carcinoma
4,CTG-0009,Irinotecan,47,Adenoid cystic carcinoma
5,CTG-0009,Lapatinib,16,Adenoid cystic carcinoma
6,CTG-0009,Liposomal doxorubicin,42,Adenoid cystic carcinoma
7,CTG-0009,Nab-paclitaxel,76,Adenoid cystic carcinoma
8,CTG-0009,Oxaliplatin,26,Adenoid cystic carcinoma
9,CTG-0009,Sorafenib,47,Adenoid cystic carcinoma
10,CTG-0009,Sunitinib,28,Adenoid cystic carcinoma
11,CTG-0009,Temozolomide,98,Adenoid cystic carcinoma
12,CTG-0009,Temsirolimus,64,Adenoid cystic carcinoma
13,CTG-0009,Topotecan,39,Adenoid cystic carcinoma
14,CTG-0009,Trastuzumab,19,Adenoid cystic carcinoma
15,CTG-0009,Vorinostat,37,Adenoid cystic carcinoma
16,CTG-0011,Capecitabine,79,Cholangiocarcinoma
17,CTG-0011,Cisplatin,74,Cholangiocarcinoma
18,CTG-0011,Cisplatin,58,Cholangiocarcinoma
19,CTG-0011,Gemcitabine,58,Cholangiocarcinoma
20,CTG-0011,Erlotinib,52,Cholangiocarcinoma
21,CTG-0011,Gemcitabine,61,Cholangiocarcinoma
22,CTG-0011,Oxaliplatin,42,Cholangiocarcinoma
23,CTG-0012,Carboplatin,137,Breast
24,CTG-0012,Carboplatin,118,Breast
25,CTG-0012,Paclitaxel,118,Breast
26,CTG-0012,Cetuximab,23,Breast
27,CTG-0012,Cisplatin,93,Breast
28,CTG-0012,Cisplatin,124,Breast
29,CTG-0012,Cisplatin,100,Breast
30,CTG-0012,Irinotecan,100,Breast
31,CTG-0012,Dasatinib,38,Breast
32,CTG-0012,Docetaxel,60,Breast
33,CTG-0012,Docetaxel,79,Breast
34,CTG-0012,Doxorubicin,82,Breast
35,CTG-0012,Docetaxel,76,Breast
36,CTG-0012,Erlotinib,76,Breast
37,CTG-0012,Docetaxel,138,Breast
38,CTG-0012,Everolimus,138,Breast
39,CTG-0012,Liposomal doxorubicin,84,Breast
40,CTG-0012,Olaparib,32,Breast
41,CTG-0012,Olaparib,37,Breast
42,CTG-0012,Olaparib,57,Breast
43,CTG-0012,Paclitaxel,33,Breast
44,CTG-0012,Paclitaxel,37,Breast
45,CTG-0012,Paclitaxel,46,Breast
46,CTG-0012,Palbociclib,29,Breast
47,CTG-0012,Temozolomide,17,Breast
48,CTG-0012,Temsirolimus,48,Breast
49,CTG-0017,Carboplatin,115,Breast
50,CTG-0017,Carboplatin,104,Breast
51,CTG-0017,Paclitaxel,104,Breast
52,CTG-0017,Cetuximab,-82,Breast
53,CTG-0017,Cetuximab,-5,Breast
54,CTG-0017,Cisplatin,62,Breast
55,CTG-0017,Cisplatin,113,Breast
56,CTG-0017,Cisplatin,148,Breast
57,CTG-0017,Docetaxel,79,Breast
58,CTG-0017,Eribulin,197,Breast
59,CTG-0017,Docetaxel,84,Breast
60,CTG-0017,Erlotinib,84,Breast
61,CTG-0017,Gemcitabine,0,Breast
62,CTG-0017,Liposomal doxorubicin,-108,Breast
63,CTG-0017,Liposomal doxorubicin,83,Breast
64,CTG-0017,Paclitaxel,94,Breast
65,CTG-0017,Paclitaxel,111,Breast
66,CTG-0017,Paclitaxel,242,Breast
67,CTG-0018,Carboplatin,-46,Breast
68,CTG-0018,Paclitaxel,-46,Breast
69,CTG-0018,Cetuximab,24,Breast
70,CTG-0018,Cisplatin,10,Breast
71,CTG-0018,Cisplatin,45,Breast
72,CTG-0018,Docetaxel,60,Breast
73,CTG-0018,Docetaxel,100,Breast
74,CTG-0018,Erlotinib,100,Breast
75,CTG-0018,Gemcitabine,42,Breast
76,CTG-0018,Liposomal doxorubicin,40,Breast
77,CTG-0018,Paclitaxel,52,Breast
78,CTG-0018,Trastuzumab emtansine,60,Breast
79,CTG-0019,Trastuzumab,-76,Breast
80,CTG-0019,Trastuzumab,-43,Breast
81,CTG-0033,Docetaxel,90,Breast
82,CTG-0033,Docetaxel,193,Breast
83,CTG-0033,Trastuzumab,46,Breast
84,CTG-0033,Trastuzumab,49,Breast
