"V1","Gene","A_1","B_1","vehicle_1","C_1","A_2","C_2","vehicle_2","C_3","B_2","A_3","B_3","vehicle_3"
0,"SCAF8",98,198,202,219,198,183,225,182,253,97,337,192
1,"RPL36AP55",231,265,192,158,301,137,179,153,262,272,211,121
2,"FAM138B",0,0,0,0,0,0,0,0,0,0,0,0
3,"DPEP1",0,0,0,0,0,0,0,3,0,0,0,0
4,"UBA6",31,1,27,19,13,21,26,17,11,22,4,7
5,"CNNM4",1039,2410,65,1021,1667,359,369,339,895,920,1139,703
6,"ERICH1",0,4,0,0,0,0,0,0,0,0,0,0
7,"MRPS7",0,4,0,0,0,0,0,0,0,0,0,0
8,"TRBJ2-3",0,0,0,0,0,0,0,0,0,0,0,0
9,"HEXA-AS1",0,0,0,0,2,0,0,0,0,0,1,0
10,"HMGN2P6",4,0,1,25,10,5,3,4,2,2,3,2
11,"PWWP2B",0,0,0,0,0,0,0,0,0,0,0,0
12,"PNN",1594,1221,1302,1132,1960,877,1389,1153,1188,1519,969,1319
13,"EEF1B2P5",2286,993,1681,2993,3482,2135,2074,2424,1266,1680,713,2598
14,"EPB41L5",10,11,10,8,5,10,9,6,5,16,14,8
15,"RNU4-57P",7,75,0,1,17,0,6,7,2,19,20,6
16,"RN7SL811P",0,1,0,2,0,0,0,0,0,0,3,0
17,"HSPA8P16",0,0,0,4,0,0,0,0,0,0,0,0
18,"OR9K2",0,0,0,0,0,0,0,0,0,0,0,0
19,"RN7SL205P",124,2,149,78,144,45,140,138,20,141,12,140
20,"ZFYVE27",256,154,177,248,352,156,249,197,152,278,150,191
21,"PCIF1",2724,989,1633,2140,3441,1706,2110,1857,1519,1824,797,2233
22,"RNU6-404P",367,307,182,536,538,315,401,155,258,195,347,402
23,"ABHD17AP3",478,433,275,397,549,277,270,497,414,416,420,316
24,"RPL35AP30",6546,4592,4473,5437,8610,4295,5341,5617,4878,5447,3489,5525
25,"PGM2L1",0,0,0,0,2,0,0,0,0,0,2,0
26,"L1CAM",4181,2677,2382,3178,5680,2649,3535,2474,2651,3511,2053,3565
27,"AREL1",332,217,287,370,331,214,208,174,112,241,61,318
28,"SSX1",21061,12372,16751,19412,36144,17999,19443,16278,14588,18831,10188,21741
29,"GNAQP1",751,409,514,509,864,563,573,330,504,482,232,568
30,"TUBG2",783,711,702,628,944,575,756,748,752,745,682,700
31,"CASC4",859,415,292,436,952,353,408,342,405,592,330,364
32,"POLR1A",1041,430,796,1107,1552,849,1320,916,609,794,369,1028
33,"FBLN5",15,8,33,21,26,7,10,5,12,11,16,17
34,"RN7SL855P",1645,1326,1408,1518,2284,1345,1535,1499,1386,1342,1187,1478
35,"C19orf33",54,15,79,81,44,71,52,20,26,15,2,30
36,"RPL21P134",0,0,0,0,0,0,0,0,0,0,0,0
37,"FAM92B",1378,188,750,932,2163,1136,470,320,643,583,237,545
38,"PPA1",504,592,171,647,939,322,328,158,439,494,461,329
39,"BLMH",1,8,17,11,2,4,14,17,17,5,6,2
40,"ANGEL1",211,276,191,184,199,184,162,137,159,197,140,226
41,"ABCC4",5143,11266,575,3745,9876,3179,2473,1729,10303,4735,9345,2976
42,"RNA5SP160",6,1,6,25,9,19,2,2,6,2,1,1
43,"METTL7B",23,102,45,76,17,38,49,27,20,16,64,20
44,"GOT2P3",6317,7420,5478,7954,10213,6150,6841,2478,7627,4534,6685,7959
45,"RN7SL320P",10354,13631,5759,19113,14129,11641,11101,10574,10000,7807,7715,10777
46,"PLK1S1",2,1,0,2,0,2,2,0,1,0,0,2
47,"PIBF1",191,369,100,229,292,165,55,159,197,183,269,59
48,"GPR89A",6,0,6,5,1,8,3,0,5,0,0,0
49,"DUSP1",329,544,299,308,483,237,262,98,543,284,441,342
50,"OSTM1-AS1",3,0,3,0,12,2,4,4,4,2,6,0
51,"RNA5SP429",11,30,17,24,25,6,9,16,13,14,14,5
52,"RPS3AP23",0,0,0,0,0,0,0,0,0,0,0,0
53,"RN7SL148P",2,1,1,1,4,0,2,1,1,0,0,7
54,"RN7SKP226",909,180,511,987,1058,669,539,485,361,536,254,776
55,"RNA5SP109",0,0,0,1,0,0,0,0,0,0,0,0
56,"RN7SKP105",0,0,0,0,0,3,0,0,0,0,0,2
57,"SCXA",0,0,0,0,0,0,0,0,0,0,0,0
58,"MIR543",1,0,4,0,7,2,4,1,1,1,0,2
59,"SHANK2",93,58,51,35,82,39,71,51,68,61,47,77
60,"HAVCR1P1",9,30,4,10,4,10,5,3,12,6,19,9
61,"SPRR1B",2491,1860,2000,2658,3735,1731,2394,2206,1701,2156,1247,2207
62,"TMCO1",1183,467,548,727,1241,550,734,553,652,861,418,773
63,"TRAPPC2P1",1562,969,881,1301,1647,887,1225,1006,1259,1042,814,1301
64,"CXorf57",3152,2288,2194,4029,4204,3189,3061,2985,2789,2211,2774,3393
65,"NADK",3568,698,3235,3084,6000,2485,3258,1858,1554,2529,848,2966
66,"LHX8",1392,1138,868,1070,1882,828,970,644,1409,1147,911,1163
67,"PSMB10",23040,15510,10094,21383,45193,13699,11885,9354,29978,21789,15614,12694
68,"HIST2H2AB",572,906,1009,1101,1346,702,466,689,2318,1452,1124,495
69,"DDX39A",0,3,2,14,3,0,7,7,2,7,0,1
70,"ATP5G1P7",689,241,227,163,691,475,215,247,135,336,214,317
71,"MINK1",286,90,151,101,214,149,113,119,70,155,56,123
72,"SPC24",882,235,467,855,1364,436,1674,585,588,702,182,1367
73,"MYT1L-AS1",3053,2424,1673,1283,4801,1223,2683,840,2944,2800,2082,2458
74,"RPL23P10",0,0,0,0,0,0,0,0,0,0,0,0
75,"FAM90A18P",85,161,46,68,195,68,54,118,183,101,196,72
76,"MTRNR2L9",42,28,63,46,89,78,55,52,91,26,66,50
77,"CLN5",7,36,23,15,5,10,4,27,7,11,9,1
78,"GAMT",26,2,65,32,76,62,116,64,25,27,13,81
79,"NBAS",861,880,753,625,1084,592,611,553,742,799,708,575
80,"KIAA0020",1369,1660,1838,3999,2383,2273,2923,1640,2157,1027,1683,2617
81,"DDX3YP2",0,0,2,1,3,0,0,1,0,0,0,1
82,"RNU6-10P",0,0,0,0,0,0,0,0,0,0,0,0
83,"MIR3687",0,0,1,1,0,0,1,0,0,0,0,0
84,"SEMA6D",0,0,0,1,0,0,0,0,0,0,0,0
85,"OPRD1",0,0,0,0,0,0,2,1,0,0,0,0
86,"ARL2BPP8",2198,1096,886,1621,2280,916,1364,1050,1087,1559,886,1319
87,"MIR4699",484,573,359,278,666,280,273,282,435,510,456,249
88,"PLG",6639,1927,5903,7097,7902,5039,8566,5580,2550,4290,1714,6454
89,"RPSAP64",4029,1311,2131,2912,5250,3144,2661,2542,2026,2245,1060,3046
90,"ATP13A5",2298,1294,1594,1886,2985,1489,2226,1653,1629,1930,1152,2352
91,"HNRNPA3",1,0,1,0,1,1,0,1,0,1,0,0
92,"SLAMF7",0,0,0,0,0,0,0,0,0,0,0,0
93,"TSPY13P",3187,2143,2019,2106,4351,1993,2247,2399,2448,2449,1880,2696
94,"ENPP7P1",671,2970,517,1524,2011,1391,718,1500,2468,1108,2176,903
95,"HIP1R",1,0,0,0,0,0,0,0,0,0,0,0
96,"PIWIL2",1,0,3,3,0,0,3,2,0,2,7,2
97,"PSMC2",0,0,0,0,0,0,0,0,0,0,0,0
98,"C1orf180",0,0,0,0,0,0,0,0,0,0,0,1
99,"RN7SKP109",16,37,8,21,17,17,20,10,28,19,31,13
