model, group
CTG-3459,A
CTG-1520,A
CTG-3303,A
CTG-2697,A
CTG-3501,A
CTG-3502,A
CTG-1646,A
CTG-1408,A
CTG-0888,A
CTG-3128,A
CTG-2742,A
CTG-2970,A
CTG-2349,A
CTG-2010,A
CTG-3399,A
CTG-0670,A
CTG-3103,A
CTG-2349,A
CTG-3459,B
CTG-2436,B
CTG-2515,B
CTG-1909,B
CTG-3090,B
CTG-1906,B
CTG-1714,B
CTG-1124,B
CTG-1018,B
CTG-2431,B
CTG-1727,B
CTG-2061,B
CTG-3131,B
CTG-0473,B
CTG-2353,B
CTG-2920,B
CTG-2745,B
CTG-2849,B
CTG-1167,C
CTG-1171,C
CTG-0019,C
CTG-0807,C
CTG-0708,C
CTG-3434,C
CTG-0717,C
CTG-2721,C
CTG-2308,C
CTG-1475,C
CTG-3606,C
CTG-1211,C
CTG-1705,C
CTG-3283,C
CTG-3298,C
CTG-3401,C
CTG-3400,C
