model,treatment_status
CTG-0017,Treated
CTG-0019,Treated
CTG-0670,Treated
CTG-0708,Treated
CTG-0717,Treated
CTG-0807,Treated
CTG-0888,Treated
CTG-0931,Treated
CTG-1019,Treated
CTG-1059,Treated
CTG-1106,Treated
CTG-1151,Treated
CTG-1153,Treated
CTG-1167,Treated
CTG-1171,Treated
CTG-1211,Treated
CTG-1399,Treated
CTG-1408,Treated
CTG-1408,Treated
CTG-1455,Treated
CTG-1475,Treated
CTG-1492,Treated
CTG-1506,Treated
CTG-1520,Treated
CTG-1533,Treated
CTG-1540,Treated
CTG-1607,Treated
CTG-1646,Treated
CTG-1647,Treated
CTG-1654,Treated
CTG-1679,Treated
CTG-1688,Treated
CTG-1704,Treated
CTG-1705,Treated
CTG-1706,Treated
CTG-1706,Treated
CTG-1715,Treated
CTG-1720,Treated
CTG-1743,Treated
CTG-1750,Treated
CTG-1750,Treated
CTG-1791,Treated
CTG-1853,Treated
CTG-1869,Treated
CTG-1873,Treated
CTG-1900,Treated
CTG-1900,Treated
CTG-1920,Treated
CTG-1925,Treated
CTG-1967,Treated
CTG-1968,Treated
CTG-1982,Treated
CTG-1986,Treated
CTG-2010,Treated
CTG-2022,Treated
CTG-2032,Treated
CTG-2055,Treated
CTG-2057,Treated
CTG-2096,Treated
CTG-2215,Treated
CTG-2215,Treated
CTG-2256,Treated
CTG-2308,Treated
CTG-2349,Treated
CTG-2421,Treated
CTG-2458,Treated
CTG-2462,Treated
CTG-2468,Treated
CTG-2479,Treated
CTG-2490,Treated
CTG-2518,Treated
CTG-2527,Treated
CTG-2582,Treated
CTG-2582,Treated
CTG-2587,Treated
CTG-2640,Treated
CTG-2640,Treated
CTG-2692,Treated
CTG-2697,Treated
CTG-2721,Treated
CTG-2742,Treated
CTG-2759,Treated
CTG-2819,Treated
CTG-2829,Treated
CTG-2918,Treated
CTG-2921,Treated
CTG-2955,Treated
CTG-2970,Treated
CTG-2999,Treated
CTG-2999,Treated
CTG-3096,Treated
CTG-3103,Treated
CTG-3128,Treated
CTG-3170,Treated
CTG-3283,Treated
CTG-3298,Treated
CTG-3302,Treated
CTG-3303,Treated
CTG-3394,Treated
CTG-3399,Treated
CTG-3400,Treated
CTG-3401,Treated
CTG-3402,Treated
CTG-3403,Treated
CTG-3434,Treated
CTG-3434,Treated
CTG-3500,Treated
CTG-3500,Treated
CTG-3501,Treated
CTG-3501,Treated
CTG-3502,Treated
CTG-3502,Treated
CTG-3503,Treated
CTG-3503,Treated
CTG-3597,Treated
CTG-3606,Treated
CTG-3606,Treated
CTG-3626,Treated
CTG-3650,Treated
CTG-3714,Treated
CTG-3721,Treated
CTG-3722,Treated
CTG-3723,Treated
CTG-3724,Treated
CTG-3729,Treated
CTG-3764,Treated
CTG-3867,Treated
CTG-0052,Untreated
CTG-0473,Untreated
CTG-1018,Untreated
CTG-1124,Untreated
CTG-1317,Untreated
CTG-1459,Untreated
CTG-1461,Untreated
CTG-1474,Untreated
CTG-1503,Untreated
CTG-1563,Untreated
CTG-1564,Untreated
CTG-1565,Untreated
CTG-1590,Untreated
CTG-1591,Untreated
CTG-1632,Untreated
CTG-1658,Untreated
CTG-1681,Untreated
CTG-1682,Untreated
CTG-1689,Untreated
CTG-1697,Untreated
CTG-1714,Untreated
CTG-1719,Untreated
CTG-1727,Untreated
CTG-1747,Untreated
CTG-1787,Untreated
CTG-1806,Untreated
CTG-1827,Untreated
CTG-1830,Untreated
CTG-1851,Untreated
CTG-1883,Untreated
CTG-1896,Untreated
CTG-1897,Untreated
CTG-1906,Untreated
CTG-1907,Untreated
CTG-1909,Untreated
CTG-1922,Untreated
CTG-1923,Untreated
CTG-1938,Untreated
CTG-1939,Untreated
CTG-1950,Untreated
CTG-1959,Untreated
CTG-1991,Untreated
CTG-2000,Untreated
CTG-2061,Untreated
CTG-2097,Untreated
CTG-2132,Untreated
CTG-2133,Untreated
CTG-2149,Untreated
CTG-2163,Untreated
CTG-2167,Untreated
CTG-2189,Untreated
CTG-2208,Untreated
CTG-2269,Untreated
CTG-2270,Untreated
CTG-2298,Untreated
CTG-2307,Untreated
CTG-2337,Untreated
CTG-2338,Untreated
CTG-2353,Untreated
CTG-2385,Untreated
CTG-2386,Untreated
CTG-2397,Untreated
CTG-2431,Untreated
CTG-2436,Untreated
CTG-2442,Untreated
CTG-2449,Untreated
CTG-2478,Untreated
CTG-2489,Untreated
CTG-2496,Untreated
CTG-2515,Untreated
CTG-2524,Untreated
CTG-2565,Untreated
CTG-2570,Untreated
CTG-2580,Untreated
CTG-2581,Untreated
CTG-2586,Untreated
CTG-2628,Untreated
CTG-2634,Untreated
CTG-2635,Untreated
CTG-2637,Untreated
CTG-2652,Untreated
CTG-2689,Untreated
CTG-2732,Untreated
CTG-2744,Untreated
CTG-2745,Untreated
CTG-2809,Untreated
CTG-2849,Untreated
CTG-2894,Untreated
CTG-2920,Untreated
CTG-2933,Untreated
CTG-2937,Untreated
CTG-2966,Untreated
CTG-2980,Untreated
CTG-3017,Untreated
CTG-3090,Untreated
CTG-3131,Untreated
CTG-3150,Untreated
CTG-3198,Untreated
CTG-3209,Untreated
CTG-3210,Untreated
CTG-3223,Untreated
CTG-3242,Untreated
CTG-3341,Untreated
CTG-3390,Untreated
CTG-3459,Untreated
CTG-3545,Untreated
CTG-3777,Untreated
